id,verse,variant
101,1,3
102,1,1
103,1,1
104,1,1
105,2,1
106,4,1
107,2,1
108,4,1
109,4,1
110,1,1
111,6,1
112,2,1
113,1,1
114,2,1
115,2,1
116,2,1
117,2,3
121,4,1
122,6,1
123,4,1
124,4,1
125,7,1
126,8,1
127,5,1
128,4,1
129,8,1
130,9,1
181,5,1
182,6,1
183,5,1
184,4,1
185,3,1
186,1,1
201,4,1
202,8,1
203,5,1
204,4,1
205,5,1
206,3,1
207,5,1
208,3,1
209,2,1
210,3,1
211,3,1
212,2,1
213,3,1
214,2,1
215,2,1
216,3,1
217,7,1
218,6,1
219,4,1
220,5,1
221,5,1
222,8,1
223,6,1
224,3,1
225,6,1
226,4,1
227,8,1
228,5,1
281,12,1
282,11,1
283,10,1
284,9,1
285,8,1
286,5,1
287,5,1
288,6,1
289,5,1
290,3,1
291,4,1
292,4,1
301,7,1
302,8,1
303,7,1
304,4,1
305,8,1
306,9,1
307,7,1
308,10,1
309,7,1
310,5,1
311,5,1
312,4,1
313,5,1
314,10,1
315,1,1
316,4,1
317,6,1
318,6,2
319,6,1
320,5,1
321,5,1
322,7,1
382,5,1
383,7,1
384,7,1
385,10,1
386,3,1
401,8,1
402,6,2
403,6,1
404,5,1
405,6,1
406,8,2
407,3,1
408,3,1
409,8,1
410,5,1
411,12,1
412,7,1
413,6,1
415,8,1
421,6,1
422,5,3
423,6,1
424,8,1
425,7,1
481,10,1
482,8,1
483,7,1
484,7,1
485,1,1
501,1,2
510,2,2
511,2,2
512,7,1
513,7,1
514,4,1
515,7,1
516,8,1
517,7,1
518,5,2
519,6,1
520,6,1
521,6,1
522,8,1
523,6,1
524,6,1
525,12,1
588,7,1
589,6,1
590,5,1
591,6,1
592,5,1
701,4,1
702,6,1
703,3,1
704,6,2
705,6,1
706,8,1
707,7,1
708,5,2
709,8,1
710,7,1
711,7,1
712,7,1
713,3,1
714,4,1
715,9,1
716,4,1
717,12,3
718,3,1
719,3,1
720,5,1
721,4,1
722,3,1
723,4,1
724,4,1
725,4,1
726,3,1
727,7,1
728,7,1
781,6,1
782,7,1
783,7,1
784,9,1
785,10,1
786,6,1
787,4,1
788,6,1
789,8,1
790,5,1
791,4,1
792,4,1
793,3,1
794,3,1
795,4,1
796,3,1
797,1,1
798,1,1
801,8,1
802,11,1
803,5,1
804,7,1
805,4,1
806,7,1
807,5,1
808,5,1
809,6,1
810,6,1
811,8,1
812,10,1
813,6,2
814,16,1
815,14,1
816,5,1
817,7,1
818,10,1
819,4,1
820,4,1
821,7,1
822,4,1
823,6,1
824,4,1
825,4,1
826,4,1
827,6,1
828,7,1
829,9,1
830,8,2
831,6,1
832,7,1
833,4,1
834,7,1
835,4,1
836,5,1
838,16,1
839,8,1
840,8,1
841,6,1
842,8,1
843,5,1
844,6,1
845,5,1
870,3,3
881,6,1
882,6,1
883,6,1
884,8,1
885,6,1
886,1,1
887,1,1
888,1,1
889,6,1
891,8,1
892,7,1
893,5,1
894,5,1
901,5,1
902,4,1
903,3,1
904,6,1
905,3,1
906,5,1
907,6,1
908,5,1
909,7,1
910,3,1
911,3,1
912,4,1
913,6,1
914,6,1
916,7,1
917,6,1
918,7,1
921,5,1
922,4,1
923,6,1
924,3,1
925,8,1
926,5,1
927,3,1
928,4,1
929,2,1
930,1,3
931,2,1
932,12,2
981,1,1
982,4,1
983,3,1
984,1,1
